adduser	3.137ubuntu1
libgcc-s1	14.2.0-4ubuntu2~24.04.1
libgcrypt20	1.10.3-2ubuntu0.1
libgd3	2.3.3-9ubuntu5
libgdal-dev	3.8.4+dfsg-3ubuntu3
libgdal34t64	3.8.4+dfsg-3ubuntu3
libgdbm-compat4t64	1.23-5.1build1
libgdbm6t64	1.23-5.1build1
libgdcm-dev	3.0.22-2.1ubuntu1
libgdcm3.0t64	3.0.22-2.1ubuntu1
libgdk-pixbuf-2.0-0	2.42.10+dfsg-3ubuntu3.3
libgdk-pixbuf2.0-bin	2.42.10+dfsg-3ubuntu3.3
libgdk-pixbuf2.0-common	2.42.10+dfsg-3ubuntu3.3
libgeographiclib-dev	2.3-1build1
libgeographiclib26	2.3-1build1
libgeos-c1t64	3.12.1-3build1
libgeos-dev	3.12.1-3build1
libgeos3.12.1t64	3.12.1-3build1
libgeotiff-dev	1.7.1-5build1
libgeotiff5	1.7.1-5build1
libgflags-dev	2.2.2-2build1
libgflags2.2	2.2.2-2build1
libgfortran-13-dev	13.3.0-6ubuntu2~24.04.1
libgfortran5	14.2.0-4ubuntu2~24.04.1
libgif-dev	5.2.2-1ubuntu1.2
libgif7	5.2.2-1ubuntu1.2
libgirepository-1.0-1	1.80.1-1
libgirepository-2.0-0	2.80.0-6ubuntu3.8
libgl-dev	1.7.0-1build1
libgl1	1.7.0-1build1
libgl1-mesa-dev	25.2.8-0ubuntu0.24.04.2
libgl1-mesa-dri	25.2.8-0ubuntu0.24.04.2
libgl2ps-dev	1.4.2+dfsg1-2build1
libgl2ps1.4	1.4.2+dfsg1-2build1
libgles-dev	1.7.0-1build1
libgles1	1.7.0-1build1
libgles2	1.7.0-1build1
libglew-dev	2.2.0-4build1
libglew2.2	2.2.0-4build1
libglib2.0-0t64	2.80.0-6ubuntu3.8
libglib2.0-bin	2.80.0-6ubuntu3.8
libglib2.0-data	2.80.0-6ubuntu3.8
libglib2.0-dev	2.80.0-6ubuntu3.8
libglib2.0-dev-bin	2.80.0-6ubuntu3.8
libglu1-mesa	9.0.2-1.1build1
libglu1-mesa-dev	9.0.2-1.1build1
libglut-dev	3.4.0-1build1
libglut3.12	3.4.0-1build1
libglvnd-core-dev	1.7.0-1build1
libglvnd-dev	1.7.0-1build1
libglvnd0	1.7.0-1build1
libglx-dev	1.7.0-1build1
libglx-mesa0	25.2.8-0ubuntu0.24.04.2
libglx0	1.7.0-1build1
libgme0	0.6.3-7build1
libgmp10	2:6.3.0+dfsg-2ubuntu6.1
libgnutls30t64	3.8.3-1.1ubuntu3.6
libgomp1	14.2.0-4ubuntu2~24.04.1
libgoogle-glog-dev	0.6.0-2.1build1
libgoogle-glog0v6t64	0.6.0-2.1build1
libgpg-error-l10n	1.47-3build2.1
libgpg-error0	1.47-3build2.1
libgpgme11t64	1.18.0-4.1ubuntu4
libgphoto2-6t64	2.5.31-2.1ubuntu1.1
libgphoto2-dev	2.5.31-2.1ubuntu1.1
libgphoto2-port12t64	2.5.31-2.1ubuntu1.1
libgpm2	1.20.7-11
libgprofng0	2.42-4ubuntu2.10
libgraphics-magick-perl	1.4+really1.3.42-1.1build3
libgraphicsmagick++-q16-12t64	1.4+really1.3.42-1.1build3
libgraphicsmagick++1-dev	1.4+really1.3.42-1.1build3
libgraphicsmagick-q16-3t64	1.4+really1.3.42-1.1build3
libgraphicsmagick1-dev	1.4+really1.3.42-1.1build3
libgraphite2-3	1.3.14-2ubuntu0.24.04.1
libgs-common	10.02.1~dfsg1-0ubuntu7.8
libgs10	10.02.1~dfsg1-0ubuntu7.8
libgs10-common	10.02.1~dfsg1-0ubuntu7.8
libgsm1	1.0.22-1build1
libgssapi-krb5-2	1.20.1-6ubuntu2.7
libgssrpc4t64	1.20.1-6ubuntu2.7
libgstreamer-plugins-base1.0-0	1.24.2-1ubuntu0.4
libgstreamer1.0-0	1.24.2-1ubuntu0.1
libgtest-dev	1.14.0-1
libgtk-3-0t64	3.24.41-4ubuntu1.3
libgtk-3-bin	3.24.41-4ubuntu1.3
libgtk-3-common	3.24.41-4ubuntu1.3
libgts-0.7-5t64	0.7.6+darcs121130-5.2build1
libgts-dev	0.7.6+darcs121130-5.2build1
libgudev-1.0-0	1:238-5ubuntu1
libgusb2	0.4.8-1build2
libgvc6	2.42.2-9ubuntu0.1
libgvpr2	2.42.2-9ubuntu0.1
libgz-cmake3-dev	3.6.0-1~noble
libgz-common5	5.8.0-1~noble
libgz-common5-av	5.8.0-1~noble
libgz-common5-av-dev	5.8.0-1~noble
libgz-common5-core-dev	5.8.0-1~noble
libgz-common5-dev	5.8.0-1~noble
libgz-common5-events	5.8.0-1~noble
libgz-common5-events-dev	5.8.0-1~noble
libgz-common5-geospatial	5.8.0-1~noble
libgz-common5-geospatial-dev	5.8.0-1~noble
libgz-common5-graphics	5.8.0-1~noble
libgz-common5-graphics-dev	5.8.0-1~noble
libgz-common5-io	5.8.0-1~noble
libgz-common5-io-dev	5.8.0-1~noble
libgz-common5-profiler	5.8.0-1~noble
libgz-common5-profiler-dev	5.8.0-1~noble
libgz-common5-testing	5.8.0-1~noble
libgz-common5-testing-dev	5.8.0-1~noble
libgz-fuel-tools9	9.1.1-1~noble
libgz-fuel-tools9-dev	9.1.1-1~noble
libgz-gui8	8.4.0-1~noble
libgz-gui8-dev	8.4.0-1~noble
libgz-launch7	7.1.2-1~noble
libgz-launch7-dev	7.1.2-1~noble
libgz-math7	7.6.0-1~noble
libgz-math7-dev	7.6.0-1~noble
libgz-math7-eigen3-dev	7.6.0-1~noble
libgz-msgs10	10.3.2-1~noble
libgz-msgs10-dev	10.3.2-1~noble
libgz-physics7	7.8.0-1~noble
libgz-physics7-bullet	7.8.0-1~noble
libgz-physics7-bullet-dev	7.8.0-1~noble
libgz-physics7-core-dev	7.8.0-1~noble
libgz-physics7-dartsim	7.8.0-1~noble
libgz-physics7-dartsim-dev	7.8.0-1~noble
libgz-physics7-dev	7.8.0-1~noble
libgz-physics7-heightmap-dev	7.8.0-1~noble
libgz-physics7-mesh-dev	7.8.0-1~noble
libgz-physics7-sdf-dev	7.8.0-1~noble
libgz-physics7-tpe	7.8.0-1~noble
libgz-physics7-tpe-dev	7.8.0-1~noble
libgz-physics7-tpelib	7.8.0-1~noble
libgz-physics7-tpelib-dev	7.8.0-1~noble
libgz-plugin2	2.0.4-1~noble
libgz-plugin2-dev	2.0.4-1~noble
libgz-rendering8	8.2.3-1~noble
libgz-rendering8-core-dev	8.2.3-1~noble
libgz-rendering8-dev	8.2.3-1~noble
libgz-rendering8-ogre1	8.2.3-1~noble
libgz-rendering8-ogre1-dev	8.2.3-1~noble
libgz-rendering8-ogre2	8.2.3-1~noble
libgz-rendering8-ogre2-dev	8.2.3-1~noble
libgz-sensors8	8.2.2-1~noble
libgz-sensors8-air-pressure	8.2.2-1~noble
libgz-sensors8-air-pressure-dev	8.2.2-1~noble
libgz-sensors8-air-speed	8.2.2-1~noble
libgz-sensors8-air-speed-dev	8.2.2-1~noble
libgz-sensors8-altimeter	8.2.2-1~noble
libgz-sensors8-altimeter-dev	8.2.2-1~noble
libgz-sensors8-boundingbox-camera	8.2.2-1~noble
libgz-sensors8-boundingbox-camera-dev	8.2.2-1~noble
libgz-sensors8-camera	8.2.2-1~noble
libgz-sensors8-camera-dev	8.2.2-1~noble
libgz-sensors8-core-dev	8.2.2-1~noble
libgz-sensors8-depth-camera	8.2.2-1~noble
libgz-sensors8-depth-camera-dev	8.2.2-1~noble
libgz-sensors8-dev	8.2.2-1~noble
libgz-sensors8-dvl	8.2.2-1~noble
libgz-sensors8-dvl-dev	8.2.2-1~noble
libgz-sensors8-force-torque	8.2.2-1~noble
libgz-sensors8-force-torque-dev	8.2.2-1~noble
libgz-sensors8-gpu-lidar	8.2.2-1~noble
libgz-sensors8-gpu-lidar-dev	8.2.2-1~noble
libgz-sensors8-imu	8.2.2-1~noble
libgz-sensors8-imu-dev	8.2.2-1~noble
libgz-sensors8-lidar	8.2.2-1~noble
libgz-sensors8-lidar-dev	8.2.2-1~noble
libgz-sensors8-logical-camera	8.2.2-1~noble
libgz-sensors8-logical-camera-dev	8.2.2-1~noble
libgz-sensors8-magnetometer	8.2.2-1~noble
libgz-sensors8-magnetometer-dev	8.2.2-1~noble
libgz-sensors8-navsat	8.2.2-1~noble
libgz-sensors8-navsat-dev	8.2.2-1~noble
libgz-sensors8-rendering	8.2.2-1~noble
libgz-sensors8-rendering-dev	8.2.2-1~noble
libgz-sensors8-rgbd-camera	8.2.2-1~noble
libgz-sensors8-rgbd-camera-dev	8.2.2-1~noble
libgz-sensors8-segmentation-camera	8.2.2-1~noble
libgz-sensors8-segmentation-camera-dev	8.2.2-1~noble
libgz-sensors8-thermal-camera	8.2.2-1~noble
libgz-sensors8-thermal-camera-dev	8.2.2-1~noble
libgz-sensors8-wide-angle-camera	8.2.2-1~noble
libgz-sensors8-wide-angle-camera-dev	8.2.2-1~noble
libgz-sim8	8.14.0-1~noble
libgz-sim8-dev	8.14.0-1~noble
libgz-sim8-plugins	8.14.0-1~noble
libgz-tools2-dev	2.0.3-2~noble
libgz-transport13	13.5.0-1~noble
libgz-transport13-core-dev	13.5.0-1~noble
libgz-transport13-dev	13.5.0-1~noble
libgz-transport13-log	13.5.0-1~noble
libgz-transport13-log-dev	13.5.0-1~noble
libgz-transport13-parameters	13.5.0-1~noble
libgz-transport13-parameters-dev	13.5.0-1~noble
libgz-utils2	2.2.1-1~noble
libgz-utils2-cli-dev	2.2.1-1~noble
libgz-utils2-dev	2.2.1-1~noble
libharfbuzz0b	8.3.0-2build2
libhdf4-0-alt	4.2.16-4build1
libhdf4-alt-dev	4.2.16-4build1
libhdf5-103-1t64	1.10.10+repack-3.1ubuntu4
libhdf5-cpp-103-1t64	1.10.10+repack-3.1ubuntu4
libhdf5-dev	1.10.10+repack-3.1ubuntu4
libhdf5-fortran-102t64	1.10.10+repack-3.1ubuntu4
libhdf5-hl-100t64	1.10.10+repack-3.1ubuntu4
libhdf5-hl-cpp-100t64	1.10.10+repack-3.1ubuntu4
libhdf5-hl-fortran-100t64	1.10.10+repack-3.1ubuntu4
libhdf5-mpi-dev	1.10.10+repack-3.1ubuntu4
libhdf5-openmpi-103-1t64	1.10.10+repack-3.1ubuntu4
libhdf5-openmpi-cpp-103-1t64	1.10.10+repack-3.1ubuntu4
libhdf5-openmpi-dev	1.10.10+repack-3.1ubuntu4
libhdf5-openmpi-fortran-102t64	1.10.10+repack-3.1ubuntu4
libhdf5-openmpi-hl-100t64	1.10.10+repack-3.1ubuntu4
libhdf5-openmpi-hl-cpp-100t64	1.10.10+repack-3.1ubuntu4
libhdf5-openmpi-hl-fortran-100t64	1.10.10+repack-3.1ubuntu4
libheif-dev	1.17.6-1ubuntu4.6
libheif-plugin-aomdec	1.17.6-1ubuntu4.6
libheif-plugin-aomenc	1.17.6-1ubuntu4.6
libheif1	1.17.6-1ubuntu4.6
libhogweed6t64	3.9.1-2.2build1.1
libhsa-runtime64-1	5.7.1-2build1
libhsakmt1	5.7.0-1build1
libhtml-form-perl	6.11-1
libhtml-format-perl	2.16-2
libhtml-parser-perl	3.81-1ubuntu0.1
libhtml-tagset-perl	3.20-6
libhtml-tree-perl	5.07-3
libhttp-cookies-perl	6.11-1
libhttp-daemon-perl	6.16-1ubuntu0.24.04.1
libhttp-date-perl	6.06-1
libhttp-message-perl	6.45-1ubuntu1
libhttp-negotiate-perl	6.01-2
libhwasan0	14.2.0-4ubuntu2~24.04.1
libhwloc-dev	2.10.0-1build1
libhwloc-plugins	2.10.0-1build1
libhwloc15	2.10.0-1build1
libhwy-dev	1.0.7-8.1build1
libhwy1t64	1.0.7-8.1build1
libhyphen0	2.8.8-7build3
libibus-1.0-5	1.5.29-2
libibus-1.0-dev	1.5.29-2
libibverbs-dev	50.0-2ubuntu0.2
libibverbs1	50.0-2ubuntu0.2
libice-dev	2:1.0.10-1build3
libice6	2:1.0.10-1build3
libicu-dev	74.2-1ubuntu3.1
libicu74	74.2-1ubuntu3.1
libid3tag0	0.15.1b-14build1
libidn12	1.42-1ubuntu0.1
libidn2-0	2.3.7-2build1.1
libiec61883-0	1.2.0-6build1
libijs-0.35	0.35-15.1build1
libimagequant0	2.18.0-1build1
libimath-3-1-29t64	3.1.9-3.1ubuntu2
libimath-dev	3.1.9-3.1ubuntu2
libimlib2t64	1.12.1-1.1build2
libimobiledevice6	1.3.0-8.1build3
libinih1	55-1ubuntu2
libinput-bin	1.25.0-1ubuntu3.5
libinput10	1.25.0-1ubuntu3.5
libintl-perl	1.33-1build3
libintl-xs-perl	1.33-1build3
libio-html-perl	1.004-3
libio-socket-ssl-perl	2.085-1
libio-stringy-perl	2.111-3
libip4tc2	1.8.10-3ubuntu2
libip6tc2	1.8.10-3ubuntu2
libipc-system-simple-perl	1.30-2
libisl23	0.26-3build1.1
libisns0t64	0.101-0.3build3
libitm1	14.2.0-4ubuntu2~24.04.1
libjack-jackd2-0	1.9.21~dfsg-3ubuntu3
libjansson4	2.14-2build2
libjbig-dev	2.1-6.1ubuntu2
libjbig0	2.1-6.1ubuntu2
libjbig2dec0	0.20-1ubuntu0.24.04.1
libjcat1	0.2.3-1~ubuntu0.24.04.1
libjpeg-dev	8c-2ubuntu11
libjpeg-turbo8	2.1.5-2ubuntu2
libjpeg-turbo8-dev	2.1.5-2ubuntu2
libjpeg8	8c-2ubuntu11
libjpeg8-dev	8c-2ubuntu11
libjq1	1.7.1-3ubuntu0.24.04.2
libjs-async	0.8.0-6
libjs-events	3.3.0+~3.0.0-3
libjs-inherits	2.0.4-6
libjs-is-typedarray	1.0.0-4
libjs-jquery	3.6.1+dfsg+~3.5.14-1
libjs-jquery-ui	1.13.2+dfsg-1
libjs-prettify	2015.12.04+dfsg-1.1
libjs-regenerate	1.4.2-3
libjs-source-map	0.7.0++dfsg2+really.0.6.1-15
libjs-sphinxdoc	7.2.6-6
libjs-sprintf-js	1.1.2+ds1+~1.1.2-1
libjs-typedarray-to-buffer	4.0.0-2
libjs-underscore	1.13.4~dfsg+~1.11.4-3
libjs-util	0.12.5+~1.0.10-1
libjson-c-dev	0.17-1build1
libjson-c5	0.17-1build1
libjson-glib-1.0-0	1.8.0-2build2
libjson-glib-1.0-common	1.8.0-2build2
libjsoncpp-dev	1.9.5-6build1
libjsoncpp25	1.9.5-6build1
libjxl-dev	0.7.0-10.2ubuntu6.1
libjxl0.7	0.7.0-10.2ubuntu6.1
libjxr-tools	1.2~git20170615.f752187-5.1ubuntu2
libjxr0t64	1.2~git20170615.f752187-5.1ubuntu2
libk5crypto3	1.20.1-6ubuntu2.7
libkadm5clnt-mit12	1.20.1-6ubuntu2.7
libkadm5srv-mit12	1.20.1-6ubuntu2.7
libkdb5-10t64	1.20.1-6ubuntu2.7
libkeyutils1	1.6.3-3build1
libklibc	2.0.13-4ubuntu0.2
libklu2	1:7.6.1+dfsg-1build1
libkml-dev	1.3.0-12build1
libkmlbase1t64	1.3.0-12build1
libkmlconvenience1t64	1.3.0-12build1
libkmldom1t64	1.3.0-12build1
libkmlengine1t64	1.3.0-12build1
libkmlregionator1t64	1.3.0-12build1
libkmlxsd1t64	1.3.0-12build1
libkmod2	31+20240202-2ubuntu7.2
libkrb5-3	1.20.1-6ubuntu2.7
libkrb5-dev	1.20.1-6ubuntu2.7
libkrb5support0	1.20.1-6ubuntu2.7
libksba8	1.6.6-1build1
liblab-gamut1	2.42.2-9ubuntu0.1
liblapack-dev	3.12.0-3build1.1
liblapack3	3.12.0-3build1.1
liblbfgsb0	3.0+dfsg.4-1build1
liblcms2-2	2.14-2ubuntu0.1
liblcms2-dev	2.14-2ubuntu0.1
libldap-common	2.6.10+dfsg-0ubuntu0.24.04.1
libldap2	2.6.10+dfsg-0ubuntu0.24.04.1
libldl3	1:7.6.1+dfsg-1build1
liblept5	1.82.0-3build4
liblerc-dev	4.0.0+ds-4ubuntu2
liblerc4	4.0.0+ds-4ubuntu2
liblilv-0-0	0.24.22-1build1
libllvm15t64	1:15.0.7-14build3
libllvm17t64	1:17.0.6-9ubuntu1
libllvm18	1:18.1.3-1ubuntu1
libllvm20	1:20.1.2-0ubuntu1~24.04.3
liblmdb0	0.9.31-1build1
liblocale-gettext-perl	1.07-6ubuntu5
liblqr-1-0	0.4.2-2.1build2
liblsan0	14.2.0-4ubuntu2~24.04.1
libltdl-dev	2.4.7-7build1
libltdl7	2.4.7-7build1
liblttng-ctl0t64	2.13.11-2.1build4
liblttng-ust-common1t64	2.13.7-1.1ubuntu2
liblttng-ust-ctl5t64	2.13.7-1.1ubuntu2
liblttng-ust-dev	2.13.7-1.1ubuntu2
liblttng-ust-python-agent1t64	2.13.7-1.1ubuntu2
liblttng-ust1t64	2.13.7-1.1ubuntu2
liblua5.2-0	5.2.4-3build2
liblua5.2-dev	5.2.4-3build2
liblvm2cmd2.03	2.03.16-3ubuntu3.2
liblwp-mediatypes-perl	6.04-2
liblwp-protocol-https-perl	6.13-1
liblz4-1	1.9.4-1build1.1
liblz4-dev	1.9.4-1build1.1
liblzma-dev	5.6.1+really5.4.5-1ubuntu0.3
liblzma5	5.6.1+really5.4.5-1ubuntu0.3
liblzo2-2	2.10-2build4
libmagic-mgc	1:5.45-3build1
libmagic1t64	1:5.45-3build1
libmagickcore-6.q16-7-extra	8:6.9.12.98+dfsg1-5.2build2
libmagickcore-6.q16-7t64	8:6.9.12.98+dfsg1-5.2build2
libmagickwand-6.q16-7t64	8:6.9.12.98+dfsg1-5.2build2
libmailtools-perl	2.21-2
libmaxminddb0	1.9.1-1build1
libmbedcrypto7t64	2.28.8-1
libmbim-glib4	1.31.2-0ubuntu3.1
libmbim-proxy	1.31.2-0ubuntu3.1
libmbim-utils	1.31.2-0ubuntu3.1
libmd-dev	1.1.0-2build1.1
libmd0	1.1.0-2build1.1
libmd4c0	0.4.8-1build1
libminizip-dev	1:1.3.dfsg-3.1ubuntu2.1
libminizip1t64	1:1.3.dfsg-3.1ubuntu2.1
libmm-glib0	1.23.4-0ubuntu2
libmnl0	1.0.5-2build1
libmodule-find-perl	0.16-2
libmodule-scandeps-perl	1.35-1ubuntu0.24.04.1
libmount-dev	2.39.3-9ubuntu6.5
libmount1	2.39.3-9ubuntu6.5
libmp3lame0	3.100-6build1
libmpc3	1.3.1-1build1.1
libmpfr6	4.2.1-1build1.1
libmpg123-0t64	1.32.5-1ubuntu1.1
libmspack0t64	0.11-1.1build1
libmtdev1t64	1.1.6-1.1build1
libmunge2	0.5.15-4ubuntu0.1
libmysofa1	1.3.2+dfsg-2ubuntu2
libmysqlclient-dev	8.0.46-0ubuntu0.24.04.3
libmysqlclient21	8.0.46-0ubuntu0.24.04.3
libnanoflann-dev	1.5.4+ds-1
libncurses-dev	6.4+20240113-1ubuntu2.1
libncurses6	6.4+20240113-1ubuntu2.1
libncursesw6	6.4+20240113-1ubuntu2.1
libndp0	1.8-1fakesync1ubuntu0.24.04.1
libnet-dbus-perl	1.2.0-2build3
libnet-http-perl	6.23-1
libnet-smtp-ssl-perl	1.04-2
libnet-ssleay-perl	1.94-1build4
libnetcdf-dev	1:4.9.2-5ubuntu4
libnetcdf19t64	1:4.9.2-5ubuntu4
libnetfilter-conntrack3	1.0.9-6build1
libnetpbm11t64	2:11.05.02-1.1build1
libnetplan1	1.1.2-8ubuntu1~24.04.2
libnettle8t64	3.9.1-2.2build1.1
libnewt0.52	0.52.24-2ubuntu2
libnfnetlink0	1.0.2-2build1
libnftables1	1.0.9-1ubuntu0.1
libnftnl11	1.2.6-2build1
libnghttp2-14	1.59.0-1ubuntu0.4
libnl-3-200	3.7.0-0.3build1.1
libnl-3-dev	3.7.0-0.3build1.1
libnl-genl-3-200	3.7.0-0.3build1.1
libnl-route-3-200	3.7.0-0.3build1.1
libnl-route-3-dev	3.7.0-0.3build1.1
libnm0	1.46.0-1ubuntu2.7
libnode-dev	18.19.1+dfsg-6ubuntu5
libnode109	18.19.1+dfsg-6ubuntu5
libnorm-dev	1.5.9+dfsg-3.1build1
libnorm1t64	1.5.9+dfsg-3.1build1
libnotify-bin	0.8.3-1build2
libnotify4	0.8.3-1build2
libnpth0t64	1.6-3.1build1
libnspr4	2:4.35-1.1build1
libnss-systemd	255.4-1ubuntu8.16
libnss3	2:3.98-1ubuntu0.2
libntfs-3g89t64	1:2022.10.3-1.2ubuntu3.2
libnuma-dev	2.0.18-1ubuntu0.24.04.1
libnuma1	2.0.18-1ubuntu0.24.04.1
libnvidia-cfg1-595	595.71.05-0ubuntu0.24.04.1
libnvidia-common-595	595.71.05-0ubuntu0.24.04.1
libnvidia-compute-595	595.71.05-0ubuntu0.24.04.1
libnvidia-decode-595	595.71.05-0ubuntu0.24.04.1
libnvidia-egl-wayland1	1:1.1.13-1ubuntu0.1
libnvidia-encode-595	595.71.05-0ubuntu0.24.04.1
libnvidia-extra-595	595.71.05-0ubuntu0.24.04.1
libnvidia-fbc1-595	595.71.05-0ubuntu0.24.04.1
libnvidia-gl-595	595.71.05-0ubuntu0.24.04.1
libnvme1t64	1.8-3ubuntu1
liboctomap-dev	1.9.7+dfsg-3.1build3
liboctomap1.9t64	1.9.7+dfsg-3.1build3
libodbc2	2.3.12-1ubuntu0.24.04.1
libodbccr2	2.3.12-1ubuntu0.24.04.1
libodbcinst2	2.3.12-1ubuntu0.24.04.1
libode-dev	2:0.16.2-1.1build1
libode8t64	2:0.16.2-1.1build1
libogdi-dev	4.1.1+ds-3build1
libogdi4.1	4.1.1+ds-3build1
libogg-dev	1.3.5-3build1
libogg0	1.3.5-3build1
libogre-1.9-dev	1.9.0+dfsg1-14.1build2
libogre-1.9.0t64	1.9.0+dfsg1-14.1build2
libogre-next-2.3-dev	2.3.1-9osrf~noble
libogre-next-2.3.0	2.3.1-9osrf~noble
libomp-18-dev	1:18.1.3-1ubuntu1
libomp-dev	1:18.0-59~exp2
libomp5-18	1:18.1.3-1ubuntu1
libonig5	6.9.9-1build1
libopenal-data	1:1.23.1-4build1
libopenal1	1:1.23.1-4build1
libopencv-calib3d-dev	4.6.0+dfsg-13.1ubuntu1
libopencv-calib3d406t64	4.6.0+dfsg-13.1ubuntu1
libopencv-contrib-dev	4.6.0+dfsg-13.1ubuntu1
libopencv-contrib406t64	4.6.0+dfsg-13.1ubuntu1
libopencv-core-dev	4.6.0+dfsg-13.1ubuntu1
libopencv-core406t64	4.6.0+dfsg-13.1ubuntu1
libopencv-dev	4.6.0+dfsg-13.1ubuntu1
libopencv-dnn-dev	4.6.0+dfsg-13.1ubuntu1
libopencv-dnn406t64	4.6.0+dfsg-13.1ubuntu1
libopencv-features2d-dev	4.6.0+dfsg-13.1ubuntu1
libopencv-features2d406t64	4.6.0+dfsg-13.1ubuntu1
libopencv-flann-dev	4.6.0+dfsg-13.1ubuntu1
libopencv-flann406t64	4.6.0+dfsg-13.1ubuntu1
libopencv-highgui-dev	4.6.0+dfsg-13.1ubuntu1
libopencv-highgui406t64	4.6.0+dfsg-13.1ubuntu1
libopencv-imgcodecs-dev	4.6.0+dfsg-13.1ubuntu1
libopencv-imgcodecs406t64	4.6.0+dfsg-13.1ubuntu1
libopencv-imgproc-dev	4.6.0+dfsg-13.1ubuntu1
libopencv-imgproc406t64	4.6.0+dfsg-13.1ubuntu1
libopencv-ml-dev	4.6.0+dfsg-13.1ubuntu1
libopencv-ml406t64	4.6.0+dfsg-13.1ubuntu1
libopencv-objdetect-dev	4.6.0+dfsg-13.1ubuntu1
libopencv-objdetect406t64	4.6.0+dfsg-13.1ubuntu1
libopencv-photo-dev	4.6.0+dfsg-13.1ubuntu1
libopencv-photo406t64	4.6.0+dfsg-13.1ubuntu1
libopencv-shape-dev	4.6.0+dfsg-13.1ubuntu1
libopencv-shape406t64	4.6.0+dfsg-13.1ubuntu1
libopencv-stitching-dev	4.6.0+dfsg-13.1ubuntu1
libopencv-stitching406t64	4.6.0+dfsg-13.1ubuntu1
libopencv-superres-dev	4.6.0+dfsg-13.1ubuntu1
libopencv-superres406t64	4.6.0+dfsg-13.1ubuntu1
libopencv-video-dev	4.6.0+dfsg-13.1ubuntu1
libopencv-video406t64	4.6.0+dfsg-13.1ubuntu1
libopencv-videoio-dev	4.6.0+dfsg-13.1ubuntu1
libopencv-videoio406t64	4.6.0+dfsg-13.1ubuntu1
libopencv-videostab-dev	4.6.0+dfsg-13.1ubuntu1
libopencv-videostab406t64	4.6.0+dfsg-13.1ubuntu1
libopencv-viz-dev	4.6.0+dfsg-13.1ubuntu1
libopencv-viz406t64	4.6.0+dfsg-13.1ubuntu1
libopenexr-3-1-30	3.1.5-5.1build3
libopenexr-dev	3.1.5-5.1build3
libopengl-dev	1.7.0-1build1
libopengl0	1.7.0-1build1
libopeniscsiusr	2.1.9-3ubuntu5.4
libopenjp2-7	2.5.0-2ubuntu0.5
libopenjp2-7-dev	2.5.0-2ubuntu0.5
libopenmpi-dev	4.1.6-7ubuntu2
libopenmpi3t64	4.1.6-7ubuntu2
libopenmpt0t64	0.7.3-1.1build3
libopenni-dev	1.5.4.0+dfsg-7.1build1
libopenni0t64	1.5.4.0+dfsg-7.1build1
libopenni2-0	2.2.0.33+dfsg-18
libopenni2-dev	2.2.0.33+dfsg-18
libopus0	1.4-1build1
liborc-0.4-0t64	1:0.4.38-1ubuntu0.1
liborocos-kdl-dev	1.5.1-4build1
liborocos-kdl1.5	1.5.1-4build1
libp11-kit0	0.25.3-4ubuntu2.1
libpackagekit-glib2-18	1.2.8-2ubuntu1.5
libpam-cap	1:2.66-5ubuntu2.4
libpam-modules	1.5.3-5ubuntu5.5
libpam-modules-bin	1.5.3-5ubuntu5.5
libpam-runtime	1.5.3-5ubuntu5.5
libpam-systemd	255.4-1ubuntu8.16
libpam0g	1.5.3-5ubuntu5.5
libpango-1.0-0	1.52.1+ds-1build1
libpangocairo-1.0-0	1.52.1+ds-1build1
libpangoft2-1.0-0	1.52.1+ds-1build1
libpaper-utils	1.1.29build1
libpaper1	1.1.29build1
libparted2t64	3.6-4build1
libparu0	1:7.6.1+dfsg-1build1
libpathplan4	2.42.2-9ubuntu0.1
libpcap0.8t64	1.10.4-4.1ubuntu3
libpci3	1:3.10.0-2build1
libpciaccess-dev	0.17-3ubuntu0.24.04.2
libpciaccess0	0.17-3ubuntu0.24.04.2
libpcl-apps1.14	1.14.0+dfsg-1
libpcl-common1.14	1.14.0+dfsg-1
libpcl-dev	1.14.0+dfsg-1
libpcl-features1.14	1.14.0+dfsg-1
libpcl-filters1.14	1.14.0+dfsg-1
libpcl-io1.14	1.14.0+dfsg-1
libpcl-kdtree1.14	1.14.0+dfsg-1
libpcl-keypoints1.14	1.14.0+dfsg-1
libpcl-ml1.14	1.14.0+dfsg-1
libpcl-octree1.14	1.14.0+dfsg-1
libpcl-outofcore1.14	1.14.0+dfsg-1
libpcl-people1.14	1.14.0+dfsg-1
libpcl-recognition1.14	1.14.0+dfsg-1
libpcl-registration1.14	1.14.0+dfsg-1
libpcl-sample-consensus1.14	1.14.0+dfsg-1
libpcl-search1.14	1.14.0+dfsg-1
libpcl-segmentation1.14	1.14.0+dfsg-1
libpcl-stereo1.14	1.14.0+dfsg-1
libpcl-surface1.14	1.14.0+dfsg-1
libpcl-tracking1.14	1.14.0+dfsg-1
libpcl-visualization1.14	1.14.0+dfsg-1
libpcp-archive1t64	6.2.0-1.1build4
libpcp-gui2t64	6.2.0-1.1build4
libpcp-import1t64	6.2.0-1.1build4
libpcp-mmv1t64	6.2.0-1.1build4
libpcp-pmda-perl	6.2.0-1.1build4
libpcp-pmda3t64	6.2.0-1.1build4
libpcp-trace2t64	6.2.0-1.1build4
libpcp-web1t64	6.2.0-1.1build4
libpcp3t64	6.2.0-1.1build4
libpcre16-3	2:8.39-15build1
libpcre2-16-0	10.42-4ubuntu2.1
